timestamp,usercount,tootscount
1480380643,14404,193623
1480380969,14404,193636
1480381006,14404,193638
1480381279,14404,193651
1480381485,14404,193661
1480382246,14407,193697
1480382303,14407,193700
1480382363,14407,193703
1480382424,14407,193706
1480384893,14414,193824
1480388486,14421,193988
1480392089,14427,194167
1480395689,14430,194346
1480399292,14440,194512
1480402890,14446,194689
1480406490,14452,194867
1480410086,14455,195039
1480413686,14458,195210
1480417290,14468,195388
1480420886,14471,195562
1480424486,14478,195739
1480428086,14485,195915
1480429557,14491,195988
1480431173,14491,196068
1480431683,14491,196093
1480435286,14498,196227
1480438886,14505,196385
1480442490,14511,196539
1480446090,14521,196696
1480449686,14528,196852
1480453286,14535,197014
1480456890,14545,197191
1480460488,14560,197351
1480464090,14575,197491
1480467689,14593,197661
1480471286,14596,197818
1480474890,14614,197993
1480478492,14639,198158
1480482090,14653,198336
1480485686,14660,198507
1480489283,14660,198666
1480492886,14663,198835
1480496490,14673,199015
1480500083,14673,199166
1480503687,14680,199309
1480507286,14683,199456
1480510884,14683,199613
1480514483,14683,199787
1480518087,14686,199961
1480521686,14693,200135
1480525293,14706,200312
1480528889,14716,200488
1480532490,14726,200643
1480536089,14740,200796
1480539686,14747,200974
1480543287,14754,201115
1480546897,14772,201244
1480550486,14779,201420
1480554089,14793,201594
1480557686,14800,201749
1480561286,14807,201913
1480564886,14814,202075
1480568486,14821,202231
1480572086,14824,202395
1480575686,14827,202556
1480579286,14830,202735
1480582887,14837,202881
1480586486,14840,203060
1480590083,14840,203226
1480593690,14846,203404
1480597283,14846,203554
1480600889,14852,203688
1480604487,14855,203868
1480608087,14858,204045
1480611689,14868,204216
1480615288,14875,204388
1480618887,14882,204568
1480622489,14892,204745
1480626087,14907,204907
1480629686,14910,205072
1480633286,14913,205245
1480635682,14916,205335
1480635819,14916,205342
1480636094,14916,205354
1480636883,14916,205390
1480640486,14919,205561
1480644089,14925,205729
1480647683,14925,205908
1480651287,14928,206082
1480654886,14931,206221
1480658487,14934,206371
1480662086,14937,206540
1480665687,14940,206686
1480669283,14940,206858
1480672886,14943,207026
1480676486,14946,207206
1480680090,14952,207351
1480683683,14952,207490
1480687290,14962,207670
1480690887,14965,207848
1480694486,14968,208018
1480698087,14971,208184
1480701686,14974,208350
1480705286,14981,208509
1480708886,14984,208686
1480712487,14991,208818
1480716086,14994,208997
1480719689,15000,209175
1480723284,15000,209321
1480726886,15003,209500
1480730487,15010,209664
1480734083,15010,209840
1480737686,15013,209977
1480741287,15016,210134
1480744883,15016,210306
1480748483,15016,210473
1480752083,15016,210635
1480755686,15019,210776
1480759283,15019,210955
1480762886,15022,211120
1480766486,15025,211274
1480770084,15025,211410
1480773686,15032,211577
1480777283,15032,211753
1480780886,15035,211924
1480784492,15035,212078
1480788086,15038,212254
1480791686,15041,212385
1480795286,15044,212560
1480798886,15047,212734
1480802487,15050,212910
1480806086,15053,213037
1480809686,15060,213189
1480813284,15060,213357
1480816886,15067,213529
1480820482,15067,213658
1480824086,15070,213824
1480827687,15073,213999
1480831283,15073,214168
1480834883,15073,214305
1480838483,15073,214480
1480842083,15073,214653
1480845686,15076,214811
1480849286,15079,214977
1480852883,15079,215139
1480856487,15082,215315
1480860083,15082,215461
1480863683,15082,215631
1480867289,15092,215802
1480870889,15098,215971
1480874483,15098,216148
1480878090,15104,216304
1480881694,15125,216475
1480885290,15143,216636
1480888886,15150,216814
1480892487,15157,216991
1480896090,15167,217158
1480899690,15177,217303
1480903286,15180,217472
1480906886,15183,217632
1480910486,15186,217809
1480914086,15189,217974
1480917689,15195,218141
1480921283,15195,218318
1480924886,15198,218451
1480928483,15198,218625
1480932086,15201,218797
1480935686,15208,218952
1480939282,15208,219121
1480942883,15208,219285
1480946483,15208,219429
1480950090,15214,219598
1480953687,15217,219765
1480957287,15220,219942
1480960883,15220,220120
1480964487,15223,220280
1480968086,15226,220431
1480971686,15229,220594
1480975292,15236,220773
1480978892,15249,220944
1480982486,15252,221113
1480986083,15252,221291
1480989686,15255,221466
1480993290,15261,221634
1480996887,15268,221813
1481000486,15275,221983
1481004087,15278,222160
1481007686,15285,222314
1481011283,15285,222494
1481014886,15288,222641
1481018486,15291,222811
1481022087,15294,222990
1481025683,15294,223119
1481029286,15297,223286
1481032886,15300,223461
1481036483,15300,223640
1481040086,15303,223815
1481043689,15309,223971
1481047283,15309,224119
1481050886,15312,224294
1481054489,15318,224420
1481058083,15318,224588
1481061686,15325,224754
1481065286,15328,224928
1481068886,15331,225101
1481072486,15334,225275
1481076086,15337,225389
1481079683,15337,225547
1481083283,15337,225688
1481086886,15344,225858
1481090486,15351,226019
1481094086,15354,226192
1481097686,15361,226363
1481101283,15361,226537
1481104883,15361,226710
1481108483,15361,226867
1481112086,15368,227023
1481115686,15371,227202
1481119286,15374,227376
1481122883,15374,227544
1481126487,15377,227687
1481130087,15380,227863
1481133690,15386,227996
1481137283,15386,228173
1481140886,15389,228348
1481144486,15392,228522
1481148087,15395,228682
1481151690,15401,228852
1481155283,15401,229031
1481158883,15401,229192
1481162482,15401,229360
1481166087,15404,229508
1481169683,15404,229675
1481173283,15404,229789
1481176886,15407,229945
1481180486,15410,230106
1481184083,15410,230275
1481187683,15410,230426
1481191286,15413,230577
1481194883,15413,230740
1481198484,15413,230906
1481202086,15416,231084
1481205688,15419,231261
1481209285,15419,231432
1481212887,15422,231597
1481216484,15422,231771
1481220087,15425,231939
1481223686,15428,232112
1481227287,15431,232269
1481230886,15434,232438
1481234483,15434,232615
1481238087,15437,232779
1481241686,15440,232901
1481245289,15446,233074
1481248890,15452,233243
1481252489,15458,233393
1481256083,15458,233553
1481259686,15465,233729
1481263286,15468,233904
1481266883,15468,234064
1481270486,15471,234201
1481274083,15471,234356
1481277686,15478,234535
1481281302,15478,234714
1481284883,15478,234878
1481288486,15481,235055
1481292083,15481,235220
1481295686,15484,235392
1481299286,15487,235571
1481302887,15490,235711
1481306486,15497,235843
1481310084,15497,236011
1481313683,15497,236180
1481317288,15500,236356
1481320886,15503,236531
1481324487,15506,236708
1481328086,15509,236882
1481331683,15509,237059
1481335283,15509,237211
1481338883,15509,237362
1481342483,15509,237538
1481346083,15509,237686
1481349686,15512,237829
1481353283,15512,237982
1481356882,15512,238161
1481360486,15515,238340
1481364086,15518,238503
1481367686,15521,238683
1481371287,15524,238825
1481374887,15527,238982
1481378486,15530,239119
1481382084,15530,239280
1481385690,15536,239458
1481389286,15539,239613
1481392886,15542,239793
1481396483,15542,239968
